Date,Open,High,Low,Close
2020-12-08,19191.529296875,19283.478515625,18269.9453125,18321.14453125
2020-12-09,18320.884765625,18626.29296875,17935.546875,18553.916015625
2020-12-10,18553.298828125,18553.298828125,17957.064453125,18264.9921875
2020-12-11,18263.9296875,18268.453125,17619.533203125,18058.904296875
2020-12-12,18051.3203125,18919.55078125,18046.041015625,18803.65625
2020-12-13,18806.765625,19381.53515625,18734.33203125,19142.3828125
2020-12-14,19144.4921875,19305.099609375,19012.708984375,19246.64453125
2020-12-15,19246.919921875,19525.0078125,19079.841796875,19417.076171875
2020-12-16,19418.818359375,21458.908203125,19298.31640625,21310.59765625
2020-12-17,21308.3515625,23642.66015625,21234.67578125,22805.162109375
2020-12-18,22806.796875,23238.6015625,22399.8125,23137.9609375
2020-12-19,23132.865234375,24085.85546875,22826.47265625,23869.83203125
2020-12-20,23861.765625,24209.66015625,23147.7109375,23477.294921875
2020-12-21,23474.455078125,24059.982421875,22159.3671875,22803.08203125
2020-12-22,22794.0390625,23789.90234375,22430.60546875,23783.029296875
2020-12-23,23781.974609375,24024.490234375,22802.646484375,23241.345703125
2020-12-24,23240.203125,23768.337890625,22777.59765625,23735.94921875
2020-12-25,23733.5703125,24710.1015625,23463.673828125,24664.791015625
2020-12-26,24677.015625,26718.0703125,24522.689453125,26437.037109375
2020-12-27,26439.373046875,28288.83984375,25922.76953125,26272.294921875
2020-12-28,26280.822265625,27389.111328125,26207.640625,27084.80859375
2020-12-29,27081.810546875,27370.720703125,25987.298828125,27362.4375
2020-12-30,27360.08984375,28937.740234375,27360.08984375,28840.953125
2020-12-31,28841.57421875,29244.876953125,28201.9921875,29001.720703125
2021-01-01,28994.009765625,29600.626953125,28803.5859375,29374.15234375
2021-01-02,29376.455078125,33155.1171875,29091.181640625,32127.267578125
2021-01-03,32129.408203125,34608.55859375,32052.31640625,32782.0234375
2021-01-04,32810.94921875,33440.21875,28722.755859375,31971.9140625
2021-01-05,31977.041015625,34437.58984375,30221.1875,33992.4296875
2021-01-06,34013.61328125,36879.69921875,33514.03515625,36824.36328125
2021-01-07,36833.875,40180.3671875,36491.19140625,39371.04296875
2021-01-08,39381.765625,41946.73828125,36838.63671875,40797.609375
2021-01-09,40788.640625,41436.3515625,38980.875,40254.546875
2021-01-10,40254.21875,41420.19140625,35984.62890625,38356.44140625
2021-01-11,38346.53125,38346.53125,30549.599609375,35566.65625
2021-01-12,35516.359375,36568.52734375,32697.9765625,33922.9609375
2021-01-13,33915.12109375,37599.9609375,32584.66796875,37316.359375
2021-01-14,37325.109375,39966.40625,36868.5625,39187.328125
2021-01-15,39156.70703125,39577.7109375,34659.58984375,36825.3671875
2021-01-16,36821.6484375,37864.3671875,35633.5546875,36178.140625
2021-01-17,36163.6484375,36722.3515625,34069.3203125,35791.27734375
2021-01-18,35792.23828125,37299.28515625,34883.84375,36630.07421875
2021-01-19,36642.234375,37755.890625,36069.8046875,36069.8046875
2021-01-20,36050.11328125,36378.328125,33570.4765625,35547.75
2021-01-21,35549.3984375,35552.6796875,30250.75,30825.69921875
2021-01-22,30817.625,33811.8515625,28953.373046875,33005.76171875
2021-01-23,32985.7578125,33360.9765625,31493.16015625,32067.642578125
2021-01-24,32064.376953125,32944.0078125,31106.685546875,32289.37890625
2021-01-25,32285.798828125,34802.7421875,32087.787109375,32366.392578125
2021-01-26,32358.61328125,32794.55078125,31030.265625,32569.849609375
2021-01-27,32564.029296875,32564.029296875,29367.138671875,30432.546875
2021-01-28,30441.041015625,31891.30078125,30023.20703125,31649.60546875
2021-01-29,34318.671875,38406.26171875,32064.814453125,34316.38671875
2021-01-30,34295.93359375,34834.70703125,32940.1875,34269.5234375
2021-01-31,34270.87890625,34288.33203125,32270.17578125,33114.359375
2021-02-01,33114.578125,34638.21484375,32384.228515625,33537.17578125
2021-02-02,33533.19921875,35896.8828125,33489.21875,35510.2890625
2021-02-03,35510.8203125,37480.1875,35443.984375,37472.08984375
2021-02-04,37475.10546875,38592.17578125,36317.5,36926.06640625
2021-02-05,36931.546875,38225.90625,36658.76171875,38144.30859375
2021-02-06,38138.38671875,40846.546875,38138.38671875,39266.01171875
2021-02-07,39250.19140625,39621.8359375,37446.15234375,38903.44140625
2021-02-08,38886.828125,46203.9296875,38076.32421875,46196.46484375
2021-02-09,46184.9921875,48003.72265625,45166.9609375,46481.10546875
